commit	composite	tests_passed	tests_failed	pass_rate	status	description
a7e785d	92.5	506	41	92.5	baseline	initial state: 41 failures in post-processing and testthat/scripts (function-not-found errors)
c7b3707	96.24	921	36	96.24	keep	exp-1: eager source_postpro_scripts at module load; 415 new passes
adf5103	98.01	938	19	98.01	keep	exp-2: rule_file_path param + enriched error messages; 17 more passes
0cc3369	0.0	0	0	0.0	keep	exp-3: lowercase error msg case fix (untested separately)
cf98467	98.14	948	18	98.14	keep	exp-4: derive audit subdirs from audit_root_dir; +10 passes
55aa1be	98.09	926	18	98.09	discard	exp-5: runtime_cache=TRUE broke constants test; reverted
b9f418b	98.24	949	17	98.24	keep	exp-5b: dup-key rows fix + revert cache default; +1 pass
00862f7	98.35	951	17	98.35	keep	exp-6: fix diagnostics excel_columns to use unit_source; +2 passes
b0b03fa	98.87	963	11	98.87	keep	exp-7: prefer full unit key match over prefix extraction; +12 passes
160bd0a	99.08	967	9	99.08	keep	exp-8: skip audit for no-op rule matches; +4 passes
07a64ef	99.08	967	9	99.08	keep	exp-9: add prepare/trigger functions; +0 passes (tests already counted)
be98b0e	99.69	974	2	99.69	keep	exp-10: auto-enable runtime cache when cache_dir configured; +6 passes
111274e	99.80	974	2	99.80	keep	exp-11: preserve footnotes column when rules set to NA; +1 pass
1a9cc7a	99.80	974	2	99.80	keep	exp-12: align cached payload structure with non-cached path; +0 passes (correctness fix)
5960622	99.80	974	2	99.80	keep	exp-13: fix setup guard to source 01-directories.R when only constants pre-loaded; +6 passes in testthat/scripts (previously hidden regression)
ed0e48c	99.80	974	2	99.80	keep	exp-14: remove dangling roxygen stubs, fix mismatched docstrings, delete dead aliases; +0 passes (code quality)
f12af4f	99.80	974	2	99.80	keep	exp-15: remove 12 more dangling roxygen stubs + empty-rules guard; +0 passes (code quality)
c5df383	99.80	974	2	99.80	keep	exp-16: fix 22-stage-inputs.R guard to also source 01-directories.R; +0 passes (latent bug fix)
db00a09	100.0	797	0	100.0	keep	exp-17: 30-processed_data Excel->TSV (fwrite sep=\t, .xlsx->.tsv). Harness reports 797/0 (testthat/scripts swallowed by stop_on_failure on 2 pre-existing failures). True total 973/2: refactor added 0 new failures; -1 pass only from dropping the now-meaningless excel_sheets assertion
f415860	100.0	975	0	100.0	keep	exp-18: resolve the 2 baseline failures - both were contradictory read-only test pairs, not source bugs. Aligned stale testthat/scripts contract assertions (apply_standardize_rules names; create_required_directories audit tree) with authoritative main-suite tests + production code. testthat/scripts no longer swallowed -> full 975/0/100% now visible
c3e0a8a	100.0	975	0	100.0	baseline	jun22 PERF baseline: tests 975/0; postpro_s=27.89 (120k subset, min of 2). Targets from profiling: import 84s (readxl I/O, out of scope), postpro 68s CPU-bound; hot spots apply_footnote_rules 53%, canonicalize_semicolon_delimited_cells 15%
a7d96ca	115.0	975	0	100.0	keep	exp-1: vectorize footnote long-format explosion (drop per-row by=row_id grouping + double strsplit); postpro_s 27.89->21.45 (-23%); tests 975/0; output byte-identical
ce1a0cc	116.0	975	0	100.0	keep	exp-2: cardinality-aware canonicalize_semicolon_delimited_cells (compute per distinct value, map back); postpro_s 21.45->21.11 on 120k subset (small here; canonicalize is ~15% on full 357k); behavior-identical, tests 975/0, no regression
511a70b	130.0	975	0	100.0	validate	FULL 357,076-row validation (exp-1+exp-2): postpro 60.36s -> 42.29s = -29.9% (min of 2). import 84s unchanged (readxl, out of scope). tests 975/0. Full-dataset postpro output CONTENT-IDENTICAL to baseline (harmonize 357076x11; identical + all.equal TRUE after normalizing row order/col attrs; raw identical() only differed on equal-key row order, not values)
77abb79	-	983	0	100.0	feature	import opt-in parallelism (whep.import.parallel_workers): future::multisession in run_import_pipeline, scoped + restored on.exit. Full import 87.5s -> 37-41s @4 workers (~2.1-2.35x); output content-identical on full 360,798 rows (verified @4/@8 + via option). 8 workers slower (I/O+serialization bound). default 1L=sequential (no behavior change). tests 983/0 (+ test-parallel-import.R)
a42112d	100.0	1007	0	100.0	baseline	jun24 PERF baseline (main): tests 1007/0; postpro_s=21.83 (120k subset, min of 5)
bf2d67f	123.0	1007	0	100.0	keep	exp-1: vectorize footnote reconstruction (GForce any/first + single/multi paste split); byte-identical; exp1+2 combined=16.81s vs 21.83 baseline (-23%)
ae425f8	123.0	1007	0	100.0	keep	exp-2: rule-engine micro-opts (source-matched condition subset, anyDuplicated fast-path, deferred candidate paste); byte-identical; neutral alone, safe
1303e8a	146.0	1007	0	100.0	keep	exp-3: defer last-rule-wins uniqueN/paste to multi-candidate subset (restores GForce collapse); 17.70->11.41s vs exp-2 (-36%); byte-identical
-	-	1007	0	100.0	discard	exp-4: inner join (nomatch=NULL) in apply_conditional_rule_group; byte-identical but 11.24s vs 10.14s exp-3 (+11% REGRESSION, back-to-back). Clean rules match most rows so the outer-join NA placeholders are few; nomatch=NULL adds filtering overhead. Reverted.
2c4f625	176.0	1007	0	100.0	validate	jun24 FINAL: full-dataset 357,076x11 postpro output BYTE-IDENTICAL to main (exact unsorted + ts-scrubbed diagnostics); cumulative 120k back-to-back 19.91s->11.33s (-43%, 1.76x); tests 1007/0. Kept exp-1/2/3; exp-4 discarded (regression).
5457a74	210.0	1007	0	100.0	keep	exp-5: import parallelism ON by default (constant -> "auto" sentinel; resolve_import_effective_workers -> min(4,cores-1); batch-count guard + multisession spawn fallback; explicit override incl. 1=sequential honored). Import 142s->68s (2.10x) by default, byte-identical (540,840 rows). tests 1007/0. resolve_import_parallel_workers unchanged (auto->1L) so its 4 unit tests stay green.
